17:32:20 Step  172 | loss=-0.5793 | avg_loss=-0.2441 | tokens=1882 | queue=0
17:37:34 Step  173 | loss=-0.5731 | avg_loss=-0.2460 | tokens=2554 | queue=0
17:42:45 Step  174 | loss=-0.1438 | avg_loss=-0.2454 | tokens=2407 | queue=0
17:47:59 Step  175 | loss=-0.6630 | avg_loss=-0.2478 | tokens=2572 | queue=0
17:53:12 Step  176 | loss=-0.2424 | avg_loss=-0.2477 | tokens=2410 | queue=0
17:58:21 Step  177 | loss=-0.2993 | avg_loss=-0.2480 | tokens=2449 | queue=0
18:03:32 Step  178 | loss=-0.3975 | avg_loss=-0.2489 | tokens=2465 | queue=0
18:08:41 Step  179 | loss=-0.5401 | avg_loss=-0.2505 | tokens=1839 | queue=0
18:13:53 Step  180 | loss=-0.2135 | avg_loss=-0.2503 | tokens=3010 | queue=0
18:19:03 Step  181 | loss=-0.3437 | avg_loss=-0.2508 | tokens=2430 | queue=0
18:24:12 Step  182 | loss=-0.2562 | avg_loss=-0.2508 | tokens=2408 | queue=0
18:29:22 Step  183 | loss=-0.3495 | avg_loss=-0.2514 | tokens=2840 | queue=0
18:34:36 Step  184 | loss=-0.1381 | avg_loss=-0.2508 | tokens=3010 | queue=0
18:39:48 Step  185 | loss=-0.4762 | avg_loss=-0.2520 | tokens=1841 | queue=0
18:44:59 Step  186 | loss=-0.3698 | avg_loss=-0.2526 | tokens=2423 | queue=0
18:50:07 Step  187 | loss=-0.4714 | avg_loss=-0.2538 | tokens=1877 | queue=0
18:55:14 Step  188 | loss=-0.1969 | avg_loss=-0.2535 | tokens=2408 | queue=0
19:00:23 Step  189 | loss=-0.3607 | avg_loss=-0.2541 | tokens=2421 | queue=0
19:05:31 Step  190 | loss=-0.1832 | avg_loss=-0.2537 | tokens=2407 | queue=0
19:10:42 Step  191 | loss=-0.1766 | avg_loss=-0.2533 | tokens=2410 | queue=0
19:15:54 Step  192 | loss=-0.3712 | avg_loss=-0.2539 | tokens=2430 | queue=1
19:21:04 Step  193 | loss=-0.3081 | avg_loss=-0.2542 | tokens=2566 | queue=0
19:26:16 Step  194 | loss=-0.2394 | avg_loss=-0.2541 | tokens=2670 | queue=0
19:31:26 Step  195 | loss=-0.3748 | avg_loss=-0.2547 | tokens=1820 | queue=0
19:36:38 Step  196 | loss=-0.3260 | avg_loss=-0.2551 | tokens=2422 | queue=2
19:41:51 Step  197 | loss=-0.5160 | avg_loss=-0.2564 | tokens=2426 | queue=0
19:47:01 Step  198 | loss=-0.3281 | avg_loss=-0.2568 | tokens=3033 | queue=0
19:52:12 Step  199 | loss=-0.1913 | avg_loss=-0.2564 | tokens=2408 | queue=0
19:57:23 Step  200 | loss=-0.3033 | avg_loss=-0.2567 | tokens=2438 | queue=0
20:02:32 Step  201 | loss=-0.2108 | avg_loss=-0.2564 | tokens=2408 | queue=0
20:07:41 Step  202 | loss=-0.5396 | avg_loss=-0.2578 | tokens=2430 | queue=0
20:12:54 Step  203 | loss=-0.3139 | avg_loss=-0.2581 | tokens=3053 | queue=0
20:18:03 Step  204 | loss=-0.3738 | avg_loss=-0.2587 | tokens=2445 | queue=0
20:23:13 Step  205 | loss=-0.1667 | avg_loss=-0.2582 | tokens=2408 | queue=0
20:28:23 Step  206 | loss=-0.5759 | avg_loss=-0.2598 | tokens=1907 | queue=2
20:33:33 Step  207 | loss=-0.3438 | avg_loss=-0.2602 | tokens=3024 | queue=0
20:38:44 Step  208 | loss=-0.8672 | avg_loss=-0.2631 | tokens=1920 | queue=0
20:43:55 Step  209 | loss=-0.7885 | avg_loss=-0.2656 | tokens=1906 | queue=0
20:49:05 Step  210 | loss=-0.4640 | avg_loss=-0.2666 | tokens=1556 | queue=1
20:54:20 Step  211 | loss=-0.4586 | avg_loss=-0.2675 | tokens=3039 | queue=0
20:59:31 Step  212 | loss=-0.4559 | avg_loss=-0.2684 | tokens=1832 | queue=0
21:04:43 Step  213 | loss=-0.3064 | avg_loss=-0.2685 | tokens=3040 | queue=0
21:09:51 Step  214 | loss=-0.3364 | avg_loss=-0.2689 | tokens=2410 | queue=0
21:15:01 Step  215 | loss=-0.2116 | avg_loss=-0.2686 | tokens=2408 | queue=0
21:20:12 Step  216 | loss=-0.3032 | avg_loss=-0.2688 | tokens=2402 | queue=0
21:25:20 Step  217 | loss=-0.4509 | avg_loss=-0.2696 | tokens=2419 | queue=0
21:30:34 Step  218 | loss=-0.5399 | avg_loss=-0.2708 | tokens=2730 | queue=0
21:35:47 Step  219 | loss=-0.4486 | avg_loss=-0.2716 | tokens=2467 | queue=0
21:40:54 Step  220 | loss=-0.2561 | avg_loss=-0.2716 | tokens=2408 | queue=0
21:46:04 Step  221 | loss=-0.3558 | avg_loss=-0.2720 | tokens=2627 | queue=1
21:51:11 Step  222 | loss=-0.4535 | avg_loss=-0.2728 | tokens=1838 | queue=0
21:56:20 Step  223 | loss=-0.5283 | avg_loss=-0.2739 | tokens=1920 | queue=0
22:01:30 Step  224 | loss=-0.4620 | avg_loss=-0.2748 | tokens=3022 | queue=0
22:06:39 Step  225 | loss=-0.2551 | avg_loss=-0.2747 | tokens=2175 | queue=0
22:11:50 Step  226 | loss=-0.4328 | avg_loss=-0.2754 | tokens=2648 | queue=1
22:16:59 Step  227 | loss=-0.3810 | avg_loss=-0.2758 | tokens=1968 | queue=0
22:22:08 Step  228 | loss=-0.3807 | avg_loss=-0.2763 | tokens=2410 | queue=1
22:27:23 Step  229 | loss=-0.6400 | avg_loss=-0.2779 | tokens=2486 | queue=0
22:32:32 Step  230 | loss=-0.4761 | avg_loss=-0.2787 | tokens=2022 | queue=0
22:37:44 Step  231 | loss=-0.2651 | avg_loss=-0.2787 | tokens=3009 | queue=0
22:42:53 Step  232 | loss=-0.3301 | avg_loss=-0.2789 | tokens=2408 | queue=0
22:48:01 Step  233 | loss=-0.4880 | avg_loss=-0.2798 | tokens=1871 | queue=1
22:53:14 Step  234 | loss=-0.3950 | avg_loss=-0.2803 | tokens=3009 | queue=0
22:58:25 Step  235 | loss=-0.3882 | avg_loss=-0.2808 | tokens=1852 | queue=1
23:03:39 Step  236 | loss=-0.6205 | avg_loss=-0.2822 | tokens=2953 | queue=0
23:08:47 Step  237 | loss=-0.4616 | avg_loss=-0.2830 | tokens=1813 | queue=0
23:13:58 Step  238 | loss=-0.7224 | avg_loss=-0.2848 | tokens=2510 | queue=0
23:19:07 Step  239 | loss=-0.3511 | avg_loss=-0.2851 | tokens=2408 | queue=0
23:24:15 Step  240 | loss=-0.3302 | avg_loss=-0.2853 | tokens=3010 | queue=0
23:29:27 Step  241 | loss=-0.4975 | avg_loss=-0.2861 | tokens=2431 | queue=0
23:34:39 Step  242 | loss=-0.4896 | avg_loss=-0.2870 | tokens=2450 | queue=0
23:39:53 Step  243 | loss=-0.3859 | avg_loss=-0.2874 | tokens=2873 | queue=0
